observation_id,observed_at_utc,observer,match_id,competition_code,home_team,away_team,kickoff_utc,match_status_at_observation,within_freeze_window,expected_backend_outcome,actual_backend_outcome,freeze_record_present,diagnostic_present,diagnostic_type,variant_pair_complete,snapshot_frozen_at,freeze_lead_hours,duplicate_record_detected,pending_visible_correctly,settlement_state,post_match_link_ok,evidence_ref,notes,covered_case_ids,row_verdict
OBS-20260310-195744-544481-1,2026-03-10T19:57:44Z,ClaudeCode,match:football-data:544481,PD,team:football-data:263,team:football-data:94,2026-03-13T20:00:00Z,SCHEDULED,no,NO_FREEZE_EXPECTED,NO_FREEZE,no,no,none,n.a.,,72.1,no,n.a.,n.a.,n.a.,log://sp-api.log:L2639-L3206|store://forward-validation.json:records=0|cache://football-data/PD/2025-26/matchday-28.json,TOO_EARLY: lead=72.1h > FREEZE_MAX_LEAD_H=48. Runner ran 5 cycles post-reset. Store unchanged at 0 records.,B2,PASS
OBS-20260310-195744-538075,2026-03-10T19:57:44Z,ClaudeCode,match:football-data:538075,PL,team:football-data:71,team:football-data:397,2026-03-14T15:00:00Z,SCHEDULED,no,NO_FREEZE_EXPECTED,NO_FREEZE,no,no,none,n.a.,,91.1,no,n.a.,n.a.,n.a.,log://sp-api.log:L2639-L3206|store://forward-validation.json:records=0|cache://football-data/PL/2025-26/matchday-29.json,TOO_EARLY: lead=91.1h. Store=0 across all 5 runner cycles.,B2,PASS
OBS-20260310-195744-544481-2,2026-03-10T19:57:44Z,ClaudeCode,match:football-data:544481,PD,team:football-data:263,team:football-data:94,2026-03-13T20:00:00Z,SCHEDULED,no,NO_FREEZE_EXPECTED,NO_FREEZE,no,no,none,n.a.,,72.1,no,n.a.,n.a.,n.a.,log://sp-api.log:L2639+L2758+L2926+L3051+L3206,Second observation of same match across 5 runner cycles. No record created in any cycle. B3 pre-window partial support only: no frozen record exists yet to confirm post-freeze idempotence.,B2,PASS
OBS-20260310-195744-538084,2026-03-10T19:57:44Z,ClaudeCode,match:football-data:538084,PL,team:football-data:563,team:football-data:65,2026-03-14T20:00:00Z,SCHEDULED,no,NO_FREEZE_EXPECTED,NO_FREEZE,no,no,none,n.a.,,96.1,no,n.a.,n.a.,n.a.,log://sp-api.log:L2639-L3206|store://forward-validation.json:records=0|cache://football-data/PL/2025-26/matchday-29.json,TOO_EARLY: lead=96.1h. Far-out match. Confirms window guard holds at higher lead times.,B2,PASS
OBS-20260310-205810-544474,2026-03-10T20:58:10.584Z,AutomatedTrackA-v1,match:football-data:544474,PD,team:football-data:80,team:football-data:1048,2026-03-09T20:00:00Z,FINISHED,no,NO_FREEZE_EXPECTED,NO_FREEZE,no,no,none,n.a.,,,no,n.a.,n.a.,n.a.,log://sp-api.log:lines=3461|lastCycleLine=3207|cycles=7|store://forward-validation.json:records=0|savedAt=2026-03-10T13:44:43.202Z|cache://football-data/PD/season:football-data:2429/matchday-27.json,,B2,PASS
OBS-20260310-205810-544486,2026-03-10T20:58:10.584Z,AutomatedTrackA-v1,match:football-data:544486,PD,team:football-data:298,team:football-data:77,2026-03-14T13:00:00Z,SCHEDULED,no,NO_FREEZE_EXPECTED,NO_FREEZE,no,no,none,n.a.,,,no,n.a.,n.a.,n.a.,log://sp-api.log:lines=3461|lastCycleLine=3207|cycles=7|store://forward-validation.json:records=0|savedAt=2026-03-10T13:44:43.202Z|cache://football-data/PD/season:football-data:2429/matchday-28.json,TOO_EARLY: lead=88.03h > FREEZE_MAX_LEAD_H=48h.,B2,PASS
OBS-20260310-205810-544482,2026-03-10T20:58:10.584Z,AutomatedTrackA-v1,match:football-data:544482,PD,team:football-data:78,team:football-data:82,2026-03-14T15:15:00Z,SCHEDULED,no,NO_FREEZE_EXPECTED,NO_FREEZE,no,no,none,n.a.,,,no,n.a.,n.a.,n.a.,log://sp-api.log:lines=3461|lastCycleLine=3207|cycles=7|store://forward-validation.json:records=0|savedAt=2026-03-10T13:44:43.202Z|cache://football-data/PD/season:football-data:2429/matchday-28.json,TOO_EARLY: lead=90.28h > FREEZE_MAX_LEAD_H=48h.,B2,PASS
OBS-20260310-205810-544485,2026-03-10T20:58:10.584Z,AutomatedTrackA-v1,match:football-data:544485,PD,team:football-data:1048,team:football-data:95,2026-03-14T17:30:00Z,SCHEDULED,no,NO_FREEZE_EXPECTED,NO_FREEZE,no,no,none,n.a.,,,no,n.a.,n.a.,n.a.,log://sp-api.log:lines=3461|lastCycleLine=3207|cycles=7|store://forward-validation.json:records=0|savedAt=2026-03-10T13:44:43.202Z|cache://football-data/PD/season:football-data:2429/matchday-28.json,TOO_EARLY: lead=92.53h > FREEZE_MAX_LEAD_H=48h.,B2,PASS
OBS-20260310-205810-544487,2026-03-10T20:58:10.584Z,AutomatedTrackA-v1,match:football-data:544487,PD,team:football-data:86,team:football-data:285,2026-03-14T20:00:00Z,SCHEDULED,no,NO_FREEZE_EXPECTED,NO_FREEZE,no,no,none,n.a.,,,no,n.a.,n.a.,n.a.,log://sp-api.log:lines=3461|lastCycleLine=3207|cycles=7|store://forward-validation.json:records=0|savedAt=2026-03-10T13:44:43.202Z|cache://football-data/PD/season:football-data:2429/matchday-28.json,TOO_EARLY: lead=95.03h > FREEZE_MAX_LEAD_H=48h.,B2,PASS
OBS-20260310-205810-544488,2026-03-10T20:58:10.584Z,AutomatedTrackA-v1,match:football-data:544488,PD,team:football-data:89,team:football-data:80,2026-03-15T13:00:00Z,SCHEDULED,no,NO_FREEZE_EXPECTED,NO_FREEZE,no,no,none,n.a.,,,no,n.a.,n.a.,n.a.,log://sp-api.log:lines=3461|lastCycleLine=3207|cycles=7|store://forward-validation.json:records=0|savedAt=2026-03-10T13:44:43.202Z|cache://football-data/PD/season:football-data:2429/matchday-28.json,TOO_EARLY: lead=112.03h > FREEZE_MAX_LEAD_H=48h.,B2,PASS
